emisor,bucket_plazo,n_trades,avg_plazo,yld_median,spread_median,volumen_mm,yld_pct,es_mercantil
"BANCO ALIADO, S.A.",1-3y,48,1.0188227241615329,0.06321462849155068,166.84038564562798,65.76,6.321462849155068,False
"BANCO GENERAL, S.A.",10y+,49,74.10205478495301,0.05700441116641741,,13.9569085,5.700441116641741,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",0-1y,97,0.8948256031386499,0.05411566514521837,46.885956544429064,176.861375,5.411566514521837,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",1-3y,34,1.1956355437452186,0.06844064733013511,193.28270573168993,58.712,6.844064733013511,False
"BANCO LA HIPOTECARIA, S.A.",0-1y,460,0.8928429009314625,0.059377872850745916,82.9153461381793,154.088,5.937787285074592,False
"BANCO LA HIPOTECARIA, S.A.",1-3y,6,1.512662559890486,0.057131629320792854,98.81764417514205,3.176,5.713162932079285,False
"BANESCO (PANAMÁ), S.A.",10y+,49,71.59636256966851,0.07287484494736418,,8.7713915,7.287484494736418,False
"BANISTMO, S.A.",1-3y,5,1.005886379192334,0.06386648211628199,153.53093622252345,35.1,6.386648211628199,False
"CREDICORP BANK, S.A.",1-3y,3,1.003878621948437,0.057527998462319374,115.41657149791718,8.5,5.752799846231937,False
"CREDICORP BANK, S.A.",5-7y,4,5.997262149212868,0.06516678014304489,16.257126117125154,0.1182985,6.516678014304489,False
"MERCANTIL BANCO, S.A.",0-1y,110,0.83915126625599,0.05679879616945982,57.34980804845691,69.327,5.679879616945982,True
"MERCANTIL BANCO, S.A.",1-3y,3,1.0047912388774811,0.06975116021931171,206.387834623456,0.786,6.975116021931171,True
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",1-3y,23,1.6818736422343237,0.06681839167140424,146.26632910221815,2.499685,6.681839167140424,True
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",3-5y,51,4.860490397390989,0.07249308039899915,38.1859892513603,4.84699974,7.2493080398999155,True
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",5-7y,3,5.004791238877481,0.07503444608300924,5.065725417807698,3.045,7.503444608300924,True
"MERCANTIL SERVICIOS FINANCIEROS INTERNACIONAL, S.A.",5-7y,9,6.523690014449768,0.06371496029896662,1.7389276763424277,0.34894,6.371496029896662,True
"METROBANK, S.A.",0-1y,7,0.886672533489782,0.058706303127110004,60.744909569621086,5.295,5.870630312711,False
"METROBANK, S.A.",1-3y,29,1.004602421581817,0.059809140395373106,72.05815054476261,44.14599925,5.980914039537311,False
"TOWERBANK INTERNATIONAL, INC.",0-1y,10,0.9445585215605752,0.05765000754036009,93.59687101095915,18.08,5.765000754036009,False
