emisor,nemotecnico,isin,instrumento,fecha_emision,fecha_vencimiento,cupon_pct,plazo,serie_mm,coloc_mm,pct_coloc,frecuencia,tipoTasa,is_mercantil
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000826M,PAL750251PM4,BONOS,2025-08-08,2026-08-08,5.75,0.999315537303217,1.0,1.0,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0537500826X,PAL750121MX3,BONOS,2025-08-08,2026-08-10,5.375,1.0047912388774811,0.5,0.5,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0537500726W,PAL750121MW5,BONOS,2025-07-25,2026-07-27,5.375,1.0047912388774811,2.19,2.19,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0537500726V,PAL750121MV7,BONOS,2025-07-18,2026-07-20,5.375,1.0047912388774811,1.05,1.05,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0585000627L,PAL750251PL6,BONOS,2025-06-27,2027-06-27,5.85,1.998631074606434,0.75,0.75,100.0,TRIMESTRAL,FIJA,False
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",MHFI0700000630H,PAL7511111H0,BONOS,2025-06-25,2030-06-25,7.000000000000001,4.999315537303217,5.0,5.0,100.0,TRIMESTRAL,FIJA,True
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000626K,PAL750251PK8,BONOS,2025-06-20,2026-06-20,5.75,0.999315537303217,5.1,5.1,100.0,TRIMESTRAL,FIJA,False
"BANCO ALIADO, S.A.",BALI0550000626U,PAL750121MU9,BONOS,2025-05-30,2026-06-01,5.5,1.0047912388774811,10.053,10.053,100.0,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0575000526J,PAL750251PJ0,BONOS,2025-05-29,2026-05-29,5.75,0.999315537303217,2.127,2.127,100.0,TRIMESTRAL,FIJA,False
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",MHFI0700000530G,PAL7511111G2,BONOS,2025-05-26,2030-05-26,7.000000000000001,4.999315537303217,5.0,5.0,100.0,TRIMESTRAL,FIJA,True
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",MHFI0700000330F,PAL3016411F7,BONOS,2025-03-14,2030-03-14,7.000000000000001,4.999315537303217,5.0,5.0,100.0,TRIMESTRAL,FIJA,True
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0600000228P,PAL352061HP9,BONOS,2025-02-28,2028-02-28,6.0,2.9979466119096507,4.0,4.108,102.69999999999999,TRIMESTRAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0600000228O,PAL352061HO2,BONOS,2025-02-25,2028-02-25,6.0,2.9979466119096507,6.0,6.0,100.0,TRIMESTRAL,FIJA,False
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",MHFI0700000130E,PAL3016411E0,BONOS,2025-01-29,2030-01-29,7.000000000000001,4.999315537303217,4.0,4.0,100.0,TRIMESTRAL,FIJA,True
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0600001227N,PAL352061HN4,BONOS,2024-12-23,2027-12-23,6.0,2.9979466119096507,0.964,0.964,100.0,TRIMESTRAL,FIJA,False
"BANCO LA HIPOTECARIA, S.A.",HIPO0550000626M,PAL341781YM8,NOTAS CORPORATIVAS,2024-12-12,2026-06-05,5.5,1.4784394250513346,4.0,0.35,8.75,MENSUAL,FIJA,False
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0600001227M,PAL352061HM6,BONOS,2024-12-10,2027-12-10,6.0,2.9979466119096507,1.26,1.26,100.0,TRIMESTRAL,FIJA,False
"MERCANTIL HOLDING FINANCIERO INTERNACIONAL, S.A.",MHFI0675001229D,PAL3016411D2,BONOS,2024-12-04,2029-12-04,6.75,4.999315537303217,7.5,7.5,100.0,TRIMESTRAL,FIJA,True
"BANCO INTERNACIONAL DE COSTA RICA, S.A.",BICS0600001127L,PAL352061HL8,BONOS,2024-11-01,2027-11-01,6.0,2.9979466119096507,4.331,4.331,100.0,TRIMESTRAL,FIJA,False
"BANISTMO, S.A.",BIST0570000826R,PAL302181JR8,BONOS,2024-08-16,2026-08-16,5.7,1.998631074606434,6.474,6.474,100.0,TRIMESTRAL,FIJA,False
"BANCO LA HIPOTECARIA, S.A.",HIPO0550000726L,PAL341781YL0,NOTAS CORPORATIVAS,2024-07-25,2026-07-25,5.5,1.998631074606434,2.0,2.0,100.0,MENSUAL,FIJA,False
"BANCO LA HIPOTECARIA, S.A.",HIPO0550000626K,PAL341781YK2,NOTAS CORPORATIVAS,2024-06-21,2026-06-21,5.5,1.998631074606434,2.0,2.0,100.0,MENSUAL,FIJA,False
