rating_tier,bucket_plazo,n,yld,spread,x_years,yld_pct
T1,10y+,16,0.056889125364250503,,12.0,5.68891253642505
T2,0-1y,19,0.059622044675052166,123.41749388724566,0.5,5.962204467505217
T2,1-3y,17,0.06386648211628199,172.28287179023027,2.0,6.386648211628199
T2,5-7y,3,0.06516769924201071,111.45054741064087,6.0,6.516769924201071
T3,0-1y,200,0.058416382409632206,127.49019078910351,0.5,5.841638240963221
T3,1-3y,142,0.06975116021931171,237.64818906784058,2.0,6.975116021931171
T3,3-5y,38,0.1023331283358857,498.1726553523913,4.0,10.23331283358857
T3,5-7y,14,0.09963864157907665,447.4463341466617,6.0,9.963864157907665
T3,10y+,28,0.07252451224485412,,12.0,7.252451224485412
T4,0-1y,294,0.05974094197154045,133.8300877250731,0.5,5.974094197154045
T4,1-3y,643,0.07960382546298206,315.0244359858334,2.0,7.960382546298206
T4,3-5y,141,0.07068121968768537,174.57987123634666,4.0,7.068121968768537
T4,5-7y,26,0.07241139496909454,175.21634872537106,6.0,7.2411394969094545
T5,1-3y,58,0.07797600631602108,315.3207479044795,2.0,7.7976006316021085
T5,3-5y,44,0.08435278129763901,315.97780325682834,4.0,8.435278129763901
